time,r_x,r_y,r_z,v_x,v_y,v_z,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
6.0503107089e+01,1.0053374553e+04,1.3811847893e+03,6.1488116776e+01,7.6528939719e-01,6.2856512252e+00,9.9927205050e-01,6.4104308605e+00,1.0147994487e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6495248684e+00,1.3880962572e+00,1.1357029068e+00,2.5543696790e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
7.4016294517e+01,1.0063366728e+04,1.4660750146e+03,7.4989175319e+01,7.1363531972e-01,6.2783405016e+00,9.9892165272e-01,6.3972399745e+00,1.0169874593e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6577663268e+00,1.3962344904e+00,1.1434699978e+00,2.5579642497e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
8.8102487761e+01,1.0073041662e+04,1.5544568546e+03,8.9057191212e+01,6.6009219926e-01,6.2703091045e+00,9.9848549172e-01,6.3835312527e+00,1.0192665776e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6663195998e+00,1.4046992021e+00,1.1515664402e+00,2.5615303280e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.0271217597e+02,1.0082281721e+04,1.6460006179e+03,1.0364099047e+02,6.0488536271e-01,6.2615431137e+00,9.9795772391e-01,6.3693585302e+00,1.0216284265e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6751504444e+00,1.4134585298e+00,1.1599637763e+00,2.5650349680e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.1732186418e+02,1.0090717658e+04,1.7374131112e+03,1.1821652508e+02,5.5001183758e-01,6.2523400132e+00,9.9735428429e-01,6.3552328227e+00,1.0239880972e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6839405706e+00,1.4221976398e+00,1.1683611124e+00,2.5683432782e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.3285755165e+02,1.0098811565e+04,1.8344684521e+03,1.3370559805e+02,4.9202722031e-01,6.2420818539e+00,9.9663081436e-01,6.3402641614e+00,1.0264947477e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.6932435238e+00,1.4314686023e+00,1.1772906931e+00,2.5716472195e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.4839323911e+02,1.0106007586e+04,1.9313607008e+03,1.4918278492e+02,4.3442200891e-01,6.2313455697e+00,9.9582433518e-01,6.3253502826e+00,1.0289985373e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7025011785e+00,1.4407169658e+00,1.1862202737e+00,2.5747319267e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.6475291641e+02,1.0112621185e+04,2.0332075744e+03,1.6546660313e+02,3.7417283786e-01,6.2195319985e+00,9.9488677807e-01,6.3097054840e+00,1.0316318116e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7122013006e+00,1.4504315703e+00,1.1956234661e+00,2.5777448265e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.8111259370e+02,1.0118252586e+04,2.1348569832e+03,1.8173435224e+02,3.1434674848e-01,6.2072067103e+00,9.9386010744e-01,6.2941232063e+00,1.0342614617e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7218520625e+00,1.4601214264e+00,1.2050266585e+00,2.5805178630e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
1.9822477691e+02,1.0123099543e+04,2.2409617123e+03,1.9873161353e+02,2.5222260277e-01,6.1937770075e+00,9.9269246161e-01,6.2778920175e+00,1.0370079460e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7318944018e+00,1.4702306849e+00,1.2148623752e+00,2.5831635876e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
