time,ICRF_X,ICRF_Y,ICRF_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
9.7287482617e+03,5.3327248172e+07,2.0674368545e+08,1.0244517716e+07,-2.1234252782e+01,1.1490300514e+01,-2.7164642902e-01,2.4145274670e+01,2.1375616252e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1773491633e+02,1.0425504615e+02,9.0510655045e+01,1.3906114368e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
4.3779377178e+04,5.2603790740e+07,2.0713330938e+08,1.0235187387e+07,-2.1258723970e+01,1.1394690902e+01,-2.7637744320e-01,2.4121540375e+01,2.1395355972e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1794863438e+02,1.0448917875e+02,9.0759171689e+01,1.3892125062e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
8.9521363104e+04,5.1630634320e+07,2.0765159017e+08,1.0222400486e+07,-2.1290966418e+01,1.1266387866e+01,-2.8270547895e-01,2.4089762742e+01,2.1421811961e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1823511379e+02,1.0480336193e+02,9.1093017059e+01,1.3872999716e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.3526334903e+05,5.0656019536e+07,2.0816400568e+08,1.0209324845e+07,-2.1322489519e+01,1.1138241039e+01,-2.8900217347e-01,2.4058106638e+01,2.1448197101e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1852088741e+02,1.0511715785e+02,9.1426862430e+01,1.3853494436e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.8100533496e+05,4.9679979190e+07,2.0867056311e+08,1.0195961896e+07,-2.1353297707e+01,1.1010252762e+01,-2.9526758589e-01,2.4026572202e+01,2.1474510910e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1880595974e+02,1.0543056849e+02,9.1760707800e+01,1.3833610974e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
2.2674732088e+05,4.8702545883e+07,2.0917126978e+08,1.0182313070e+07,-2.1383395390e+01,1.0882425329e+01,-3.0150177629e-01,2.3995159570e+01,2.1500752912e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1909033524e+02,1.0574359586e+02,9.2094553170e+01,1.3813351077e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
2.7248930681e+05,4.7723752014e+07,2.0966613309e+08,1.0168379792e+07,-2.1412786950e+01,1.0754760990e+01,-3.0770480567e-01,2.3963868869e+01,2.1526922636e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1937401837e+02,1.0605624193e+02,9.2428398541e+01,1.3792716483e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
3.1823129273e+05,4.6743629784e+07,2.1015516055e+08,1.0154163486e+07,-2.1441476740e+01,1.0627261947e+01,-3.1387673590e-01,2.3932700222e+01,2.1553019619e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1965701356e+02,1.0636850868e+02,9.2762243911e+01,1.3771708927e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
3.6397327866e+05,4.5762211194e+07,2.1063835978e+08,1.0139665574e+07,-2.1469469089e+01,1.0499930362e+01,-3.2001762972e-01,2.3901653747e+01,2.1579043399e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.1993932522e+02,1.0668039809e+02,9.3096089282e+01,1.3750330137e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
4.0971526459e+05,4.4779528047e+07,2.1111573847e+08,1.0124887475e+07,-2.1496768296e+01,1.0372768351e+01,-3.2612755069e-01,2.3870729558e+01,2.1604993522e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2022095774e+02,1.0699191213e+02,9.3429934652e+01,1.3728581837e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
