time,ICRF_X,ICRF_Y,ICRF_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega,V_infinity,b_impact_parameter,beta,b_impact_parameter_x,b_impact_parameter_y,r_soi,within_target_soi
9.7287482617e+03,1.2056413625e+08,-9.2061265702e+07,4.3689934442e+05,2.0517544629e+01,2.5929322597e+01,1.7989660416e+00,3.3113980231e+01,1.5169435874e+08,-3.2656022872e+02,2.0318837343e+08,1.2577600317e-07,4.9955358324e+07,5.0224439437e+09,-1.7694359479e+08,-2.0792668515e+08,5.0150175099e+09,2.5398796667e-01,1.8791221329e-01,-1.7087621438e-01,-4.5460704733e-04,1.9008071438e+08,2.5479577525e+08,1.5158097161e+08,1.9652529398e+08,4.9238923396e+00,3.7987704381e+00,2.8346351835e+00,9.9672316122e-01,3.1161888138e+00,4.0397461398e+01,3.5811315096e+02,1.7271647077e+01,7.4080119714e+07,1.5707943888e+00,7.3025648406e+07,-1.2454670278e+07,5.1455202772e+05,0.0000000000e+00
2.5437452853e+04,1.2088587430e+08,-9.1653518467e+07,4.6515667711e+05,2.0445453446e+01,2.5984175498e+01,1.7986967066e+00,3.3112373106e+01,1.5170358738e+08,-3.2656022699e+02,2.0318837451e+08,1.2577600218e-07,4.9955358721e+07,5.0224439515e+09,-1.7694359455e+08,-2.0792668479e+08,5.0150175179e+09,2.5398797063e-01,1.8791221613e-01,-1.7087621715e-01,-4.5460705808e-04,1.9008071497e+08,2.5479577740e+08,1.5158097161e+08,1.9652529481e+08,5.1203247126e+00,3.9503976380e+00,2.9478389185e+00,1.0364368470e+00,3.1161888039e+00,4.0397461408e+01,3.5811315094e+02,1.7246994689e+01,7.3841070329e+07,1.5707943770e+00,7.2780055392e+07,-1.2472658279e+07,5.1455203045e+05,0.0000000000e+00
4.1146157444e+04,1.2120647849e+08,-9.1244911557e+07,4.9340964678e+05,2.0373183922e+01,2.6038774496e+01,1.7984105521e+00,3.3110703418e+01,1.5171317598e+08,-3.2656022525e+02,2.0318837559e+08,1.2577600117e-07,4.9955359119e+07,5.0224439595e+09,-1.7694359430e+08,-2.0792668442e+08,5.0150175258e+09,2.5398797461e-01,1.8791221898e-01,-1.7087621992e-01,-4.5460706824e-04,1.9008071557e+08,2.5479577956e+08,1.5158097161e+08,1.9652529564e+08,5.3167327201e+00,4.1020154319e+00,3.0610426504e+00,1.0761398186e+00,3.1161887940e+00,4.0397461419e+01,3.5811315092e+02,1.7222313070e+01,7.3602299192e+07,1.5707943650e+00,7.2534716175e+07,-1.2490532246e+07,5.1455203318e+05,0.0000000000e+00
5.6854862035e+04,1.2152594603e+08,-9.0835448968e+07,5.2165798930e+05,2.0300737319e+01,2.6093118785e+01,1.7981075894e+00,3.3108971209e+01,1.5172312439e+08,-3.2656022351e+02,2.0318837667e+08,1.2577600017e-07,4.9955359519e+07,5.0224439674e+09,-1.7694359405e+08,-2.0792668404e+08,5.0150175338e+09,2.5398797860e-01,1.8791222185e-01,-1.7087622270e-01,-4.5460707781e-04,1.9008071617e+08,2.5479578173e+08,1.5158097160e+08,1.9652529648e+08,5.5131154351e+00,4.2536234612e+00,3.1742463792e+00,1.1158316682e+00,3.1161887840e+00,4.0397461430e+01,3.5811315091e+02,1.7197602638e+01,7.3363809023e+07,1.5707943530e+00,7.2289633585e+07,-1.2508291272e+07,5.1455203592e+05,0.0000000000e+00
7.3128287325e+04,1.2185569664e+08,-9.0410368288e+07,5.5091668538e+05,2.0225500902e+01,2.6149147267e+01,1.7977760221e+00,3.3107110840e+01,1.5173380970e+08,-3.2656022170e+02,2.0318837779e+08,1.2577599912e-07,4.9955359934e+07,5.0224439757e+09,-1.7694359380e+08,-2.0792668365e+08,5.0150175421e+09,2.5398798275e-01,1.8791222485e-01,-1.7087622558e-01,-4.5460708710e-04,1.9008071680e+08,2.5479578399e+08,1.5158097160e+08,1.9652529734e+08,5.7165303572e+00,4.4106710497e+00,3.2915197265e+00,1.1569382577e+00,3.1161887736e+00,4.0397461443e+01,3.5811315089e+02,1.7171973581e+01,7.3117043457e+07,1.5707943404e+00,7.2036012809e+07,-1.2526567868e+07,5.1455203877e+05,0.0000000000e+00
8.9401712615e+04,1.2218422137e+08,-8.9984378071e+07,5.8016983915e+05,2.0150077218e+01,2.6204900667e+01,1.7974264423e+00,3.3105183471e+01,1.5174488079e+08,-3.2656021989e+02,2.0318837892e+08,1.2577599807e-07,4.9955360350e+07,5.0224439839e+09,-1.7694359354e+08,-2.0792668326e+08,5.0150175504e+09,2.5398798691e-01,1.8791222785e-01,-1.7087622846e-01,-4.5460709574e-04,1.9008071743e+08,2.5479578625e+08,1.5158097160e+08,1.9652529821e+08,5.9199161130e+00,4.5677073767e+00,3.4087930705e+00,1.1980320215e+00,3.1161887631e+00,4.0397461456e+01,3.5811315088e+02,1.7146314221e+01,7.2870583330e+07,1.5707943277e+00,7.1782671332e+07,-1.2544720454e+07,5.1455204163e+05,0.0000000000e+00
1.0567513790e+05,1.2251151718e+08,-8.9557482799e+07,6.0941715760e+05,2.0074467682e+01,2.6260378115e+01,1.7970588640e+00,3.3103189152e+01,1.5175633745e+08,-3.2656021807e+02,2.0318838006e+08,1.2577599702e-07,4.9955360768e+07,5.0224439922e+09,-1.7694359329e+08,-2.0792668285e+08,5.0150175588e+09,2.5398799109e-01,1.8791223088e-01,-1.7087623134e-01,-4.5460710374e-04,1.9008071806e+08,2.5479578852e+08,1.5158097159e+08,1.9652529909e+08,6.1232716751e+00,4.7247320448e+00,3.5260664111e+00,1.2391125076e+00,3.1161887525e+00,4.0397461470e+01,3.5811315087e+02,1.7120624689e+01,7.2624431988e+07,1.5707943149e+00,7.1529612443e+07,-1.2562749120e+07,5.1455204450e+05,0.0000000000e+00
1.2194856319e+05,1.2283758107e+08,-8.9129686970e+07,6.3865834793e+05,1.9998673720e+01,2.6315578756e+01,1.7966733018e+00,3.3101127938e+01,1.5176817949e+08,-3.2656021624e+02,2.0318838119e+08,1.2577599597e-07,4.9955361188e+07,5.0224440006e+09,-1.7694359303e+08,-2.0792668244e+08,5.0150175671e+09,2.5398799528e-01,1.8791223392e-01,-1.7087623423e-01,-4.5460711108e-04,1.9008071869e+08,2.5479579080e+08,1.5158097159e+08,1.9652529996e+08,6.3265960174e+00,4.8817446568e+00,3.6433397482e+00,1.2801792646e+00,3.1161887419e+00,4.0397461485e+01,3.5811315087e+02,1.7094905383e+01,7.2378590596e+07,1.5707943020e+00,7.1276837306e+07,-1.2580653414e+07,5.1455204738e+05,0.0000000000e+00
1.3890615546e+05,1.2317603939e+08,-8.8682952481e+07,6.6912206015e+05,1.9919498548e+01,2.6372804717e+01,1.7962524125e+00,3.3098908952e+01,1.5178092919e+08,-3.2656021433e+02,2.0318838238e+08,1.2577599486e-07,4.9955361626e+07,5.0224440093e+09,-1.7694359277e+08,-2.0792668201e+08,5.0150175759e+09,2.5398799967e-01,1.8791223710e-01,-1.7087623725e-01,-4.5460711802e-04,1.9008071935e+08,2.5479579318e+08,1.5158097159e+08,1.9652530088e+08,6.5384341951e+00,5.0453451344e+00,3.7655434847e+00,1.3229574559e+00,3.1161887307e+00,4.0397461501e+01,3.5811315086e+02,1.7068073485e+01,7.2122746660e+07,1.5707942885e+00,7.1013740320e+07,-1.2599177416e+07,5.1455205040e+05,0.0000000000e+00
1.5586374773e+05,1.2351315342e+08,-8.8235250141e+07,6.9957846979e+05,1.9840126289e+01,2.6429728238e+01,1.7958120299e+00,3.3096617452e+01,1.5179409687e+08,-3.2656021241e+02,2.0318838358e+08,1.2577599375e-07,4.9955362066e+07,5.0224440181e+09,-1.7694359250e+08,-2.0792668157e+08,5.0150175847e+09,2.5398800407e-01,1.8791224031e-01,-1.7087624026e-01,-4.5460712424e-04,1.9008072001e+08,2.5479579557e+08,1.5158097158e+08,1.9652530180e+08,6.7502362015e+00,5.2089316418e+00,3.8877472173e+00,1.3657197402e+00,3.1161887195e+00,4.0397461518e+01,3.5811315086e+02,1.7041209844e+01,7.1867244741e+07,1.5707942748e+00,7.0750956877e+07,-1.2617565838e+07,5.1455205342e+05,0.0000000000e+00
