
2453597.791666667, A.D. 2005-Aug-15 07:00:00.0000,  2.064227638988293E+08, -2.058556530620480E+07, -5.502386862183291E+06,  3.332054651741626E+00,  2.618205699267737E+01,  4.667349817341186E-01,
2453597.803240742, A.D. 2005-Aug-15 07:16:40.0001,  2.064260944209544E+08, -2.055938309495225E+07, -5.501920086319574E+06,  3.328989225654273E+00,  2.618236253796857E+01,  4.668166924203838E-01,
2453597.814814816, A.D. 2005-Aug-15 07:33:20.0001,  2.064294218776448E+08, -2.053320057835096E+07, -5.501453228749448E+06,  3.325923782778176E+00,  2.618266769017906E+01,  4.668983945255558E-01,
2453597.826388891, A.D. 2005-Aug-15 07:50:00.0002,  2.064327462688839E+08, -2.050701775679380E+07, -5.500986289481534E+06,  3.322858323360003E+00,  2.618297244973495E+01,  4.669800879851422E-01,
2453597.837962965, A.D. 2005-Aug-15 08:06:40.0002,  2.064360675946553E+08, -2.048083463067321E+07, -5.500519268524479E+06,  3.319792847548542E+00,  2.618327681709618E+01,  4.670617727876092E-01,
2453597.849537040, A.D. 2005-Aug-15 08:23:20.0003,  2.064393858549424E+08, -2.045465120038114E+07, -5.500052165886940E+06,  3.316727355399757E+00,  2.618358079272480E+01,  4.671434489692778E-01,
2453597.861111115, A.D. 2005-Aug-15 08:40:00.0003,  2.064427010497291E+08, -2.042846746630912E+07, -5.499584981577488E+06,  3.313661846883548E+00,  2.618388437705779E+01,  4.672251166086792E-01,
2453597.872685190, A.D. 2005-Aug-15 08:56:40.0004,  2.064460131789989E+08, -2.040228342884822E+07, -5.499117715604622E+06,  3.310596321892243E+00,  2.618418757048452E+01,  4.673067758204184E-01,
2453597.884259264, A.D. 2005-Aug-15 09:13:20.0004,  2.064493222427352E+08, -2.037609908838920E+07, -5.498650367976692E+06,  3.307530780250799E+00,  2.618449037332881E+01,  4.673884267484834E-01,
2453597.895833339, A.D. 2005-Aug-15 09:30:00.0005,  2.064526282409213E+08, -2.034991444532250E+07, -5.498182938701899E+06,  3.304465221728726E+00,  2.618479278583562E+01,  4.674700695590950E-01,
2453597.907407414, A.D. 2005-Aug-15 09:46:40.0006,  2.064559311735400E+08, -2.032372950003837E+07, -5.497715427788280E+06,  3.301399646053723E+00,  2.618509480816234E+01,  4.675517044329780E-01,
2453597.918981488, A.D. 2005-Aug-15 10:03:20.0006,  2.064592310405743E+08, -2.029754425292697E+07, -5.497247835243671E+06,  3.298334052927037E+00,  2.618539644037469E+01,  4.676333315571561E-01,
2453597.930555563, A.D. 2005-Aug-15 10:20:00.0007,  2.064625278420064E+08, -2.027135870437839E+07, -5.496780161075731E+06,  3.295268442040534E+00,  2.618569768244722E+01,  4.677149511162355E-01,
2453597.942129638, A.D. 2005-Aug-15 10:36:40.0007,  2.064658215778185E+08, -2.024517285478284E+07, -5.496312405291936E+06,  3.292202813095498E+00,  2.618599853426846E+01,  4.677965632831391E-01,
2453597.953703713, A.D. 2005-Aug-15 10:53:20.0008,  2.064691122479923E+08, -2.021898670453066E+07, -5.495844567899606E+06,  3.289137165823135E+00,  2.618629899565062E+01,  4.678781682093565E-01,
2453597.965277787, A.D. 2005-Aug-15 11:10:00.0008,  2.064723998525094E+08, -2.019280025401239E+07, -5.495376648905909E+06,  3.286071500006799E+00,  2.618659906634395E+01,  4.679597660146655E-01,
2453597.976851862, A.D. 2005-Aug-15 11:26:40.0009,  2.064756843913512E+08, -2.016661350361888E+07, -5.494908648317932E+06,  3.283005815505947E+00,  2.618689874605570E+01,  4.680413567763182E-01,
2453597.988425937, A.D. 2005-Aug-15 11:43:20.0009,  2.064789658644989E+08, -2.014042645374127E+07, -5.494440566142696E+06,  3.279940112281790E+00,  2.618719803447371E+01,  4.681229405177696E-01,
2453598.000000012, A.D. 2005-Aug-15 12:00:00.0010,  2.064822442719339E+08, -2.011423910477099E+07, -5.493972402387240E+06,  3.276874390424681E+00,  2.618749693129453E+01,  4.682045171968188E-01,
2453598.011574086, A.D. 2005-Aug-15 12:16:40.0011,  2.064855196136374E+08, -2.008805145709993E+07, -5.493504157058537E+06,  3.273808649570048E+00,  2.618779543596312E+01,  4.682860869849748E-01,
2453598.023148161, A.D. 2005-Aug-15 12:33:20.0011,  2.064887918895907E+08, -2.006186351112027E+07, -5.493035830163621E+06,  3.270742890251904E+00,  2.618809354838850E+01,  4.683676496290339E-01,
2453598.034722236, A.D. 2005-Aug-15 12:50:00.0012,  2.064920610997751E+08, -2.003567526722449E+07, -5.492567421709624E+06,  3.267677112451009E+00,  2.618839126809620E+01,  4.684492051294988E-01,
2453598.046296311, A.D. 2005-Aug-15 13:06:40.0012,  2.064953272441725E+08, -2.000948672580551E+07, -5.492098931703727E+06,  3.264611316332163E+00,  2.618868859468961E+01,  4.685307533985394E-01,
2453598.057870385, A.D. 2005-Aug-15 13:23:20.0013,  2.064985903227645E+08, -1.998329788725661E+07, -5.491630360153232E+06,  3.261545502196870E+00,  2.618898552786139E+01,  4.686122942851956E-01,
2453598.069444460, A.D. 2005-Aug-15 13:40:00.0013,  2.065018503355334E+08, -1.995710875197132E+07, -5.491161707065616E+06,  3.258479670440452E+00,  2.618928206740162E+01,  4.686938275980452E-01,
2453598.081018534, A.D. 2005-Aug-15 13:56:40.0014,  2.065051072824617E+08, -1.993091932034334E+07, -5.490692972448559E+06,  3.255413821513555E+00,  2.618957821320232E+01,  4.687753531253520E-01,
